-15	3.24499E-05
-14.5	3.95607E-05
-14	4.66716E-05
-13.5	4.9921E-05
-13	5.31704E-05
-12.5	9.25055E-05
-12	0.000131841
-11.5	0.001323966
-11	0.002516091
-10.5	0.009698676
-10	0.016881262
-9.5	0.033254211
-9	0.04962716
-8.5	0.081537554
-8	0.113447948
-7.5	0.177465284
-7	0.241482619
-6.5	0.319244998
-6	0.397007377
-5.5	0.485529342
-5	0.574051306
-4.5	0.610288726
-4	0.646526145
-3.5	0.800364324
-3	0.954202504
-2.5	0.976032684
-2	0.997862864
-1.5	0.999035916
-1	1.000208969
-0.5	1.000104484
0	1
0.5	1.000104484
1	1.000208969
1.5	0.999035916
2	0.997862864
2.5	0.976032684
3	0.954202504
3.5	0.800364324
4	0.646526145
4.5	0.610288726
5	0.574051306
5.5	0.485529342
6	0.397007377
6.5	0.319244998
7	0.241482619
7.5	0.177465284
8	0.113447948
8.5	0.081537554
9	0.04962716
9.5	0.033254211
10	0.016881262
10.5	0.009698676
11	0.002516091
11.5	0.001323966
12	0.000131841
12.5	9.25055E-05
13	5.31704E-05
13.5	4.9921E-05
14	4.66716E-05
14.5	3.95607E-05
15	3.24499E-05
